system,path,name,size,attrhex,attrstr,created,accessed,modified,companyname,filedescription,fileversion,internalname,legalcopyright,originalfilename,productname,productversion,cert_exists,cert_verified,cert_result,cert_comment,cert_signer,cert_type,md5,sha1,sha256
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","mshwLatin.dll","1486848","0x20","ARCHIVE","2022-08-05T09:28:05Z","2022-09-17T20:49:16Z","2022-08-05T09:28:05Z","Microsoft Corporation","Microsoft Generic Latin Handwriting Recognizer","10.0.19041.1 (WinBuild.160101.0800)","""mshwLatin.dll""","&#169; Microsoft Corporation. All rights reserved.","""mshwLatin.dll"".mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","ffca74dd4c7c9911ba543ea1fecc54b1","76015691ba12042cccff387ebe80412fd231c44d","cb750c144e9c292906fcf40eb68ebafb6ef5d1f7c1d34854928ce327cd21d47f"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","rtscom.dll","186368","0x20","ARCHIVE","2022-08-05T09:27:31Z","2022-10-15T03:11:20Z","2022-08-05T09:27:31Z","Microsoft Corporation","Microsoft Tablet PC Real Time Stylus Platform Component","10.0.19041.1 (WinBuild.160101.0800)","RTSCom.dll","Copyright (c) Microsoft Corp.  All rights reserved.","RTSCom.dll.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","a4f30509b6e2497a7b33c142e11c3744","c2e4e80157946b1b243d2d9832bc8dbcc7a79d96","1428fdd4d116feec6d9e73af8913ed3fe888fbf6f5671dbd75357301780cafe8"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","ShapeCollector.exe","738304","0x20","ARCHIVE","2022-08-05T09:28:05Z","2022-10-17T04:58:26Z","2022-08-05T09:28:05Z","Microsoft Corporation","Personalize Handwriting Recognition UI","10.0.19041.1 (WinBuild.160101.0800)","ShapeCollector.exe","&#169; Microsoft Corporation. All rights reserved.","ShapeCollector.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","f8510895ef5782fc1dd312d42c45f049","09cf63cd88d05bd3044a22f7fbe76733b83d7024","2c0decb7df8df6ff79ff9de4febae78b4d40a68a2f96d6beae5a9c911d56a65e"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","TabIpsps.dll","41472","0x20","ARCHIVE","2019-12-07T09:09:47Z","2022-10-15T03:11:19Z","2019-12-07T09:09:47Z","Microsoft Corporation","Input Personalization Proxy Stub","10.0.19041.1 (WinBuild.160101.0800)","TabIpsps.dll","&#169; Microsoft Corporation. All rights reserved.","TabIpsps.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","704fac25b321af959e1da955216c2730","f8a730e0ad656e34d455e5c0a24c8665140f4b00","35cf5faddddc8e84da607c2059f651aec9bb2a6364278990c7196089233eefcc"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","tabskb.dll","4125184","0x20","ARCHIVE","2022-08-05T09:27:31Z","2022-10-18T14:50:00Z","2022-08-05T09:27:31Z","Microsoft Corporation","Touch Keyboard","10.0.19041.1 (WinBuild.160101.0800)","tabskb.dll","&#169; Microsoft Corporation. All rights reserved.","tabskb.dll.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","6f67bf3db4d49b0459fcf7fdc4b4c70a","0267c7562aaf1039ce8eba50e9a7b3fdf03e6ade","a0f8309c2de6c98529914ccd1204fb18c8c4950ff5770f9f4e263673f5389332"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","TabTip.exe","437992","0x20","ARCHIVE","2022-08-05T09:28:05Z","2022-10-18T15:03:04Z","2022-08-05T09:28:05Z","Microsoft Corporation","Touch Keyboard and Handwriting Panel","10.0.19041.1 (WinBuild.160101.0800)","TabTip.exe","&#169; Microsoft Corporation. All rights reserved.","TabTip.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","a3bf8ea4e9b66592e01d03949ae1589c","ff45420f9bd45b07013129a1580924c804e55562","043ce8d288fbdb1fe2a7ecc96f6e1cec5411ec7147e8fd7e23905d29833ea08e"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","TipRes.dll","1086464","0x20","ARCHIVE","2022-08-05T09:28:05Z","2022-10-18T14:50:00Z","2022-08-05T09:28:05Z","Microsoft Corporation","Touch Keyboard and Handwriting Panel Resources","10.0.19041.1 (WinBuild.160101.0800)","TipRes.dll","&#169; Microsoft Corporation. All rights reserved.","TipRes.dll.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","0b40a3f941d53720611edf946ad21e6b","b9168cb171aca0d326023c28ab3fa4a93bd5ebc9","31b860b24a51702c33e38d3a6b178ef3bc36c35bba4710b784cfdb3d4cc390d6"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","tipresx.dll","22016","0x20","ARCHIVE","2019-12-07T09:09:47Z","2022-10-18T14:50:00Z","2019-12-07T09:09:47Z","Microsoft Corporation","Tablet PC Tablet Input Panel Resources Per Input Language","10.0.19041.1 (WinBuild.160101.0800)","tipresx.dll","&#169; Microsoft Corporation. All rights reserved.","tipresx.dll.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","fd306bfa3c5ce96658906bda949a7826","54fa027d9376b45634a582c1bd4777fe5472b13f","38b63b79a29cd9c2c6f7cb7f1e6b7d01cf3175009f62c53f4706232982ae7916"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","tipskins.dll","1177088","0x20","ARCHIVE","2022-08-05T09:28:05Z","2022-10-18T14:50:00Z","2022-08-05T09:28:05Z","Microsoft Corporation","Touch Keyboard and Handwriting Panel User Interface","10.0.19041.844 (WinBuild.160101.0800)","TipSkins.dll","&#169; Microsoft Corporation. All rights reserved.","TipSkins.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.844","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","73c2f46a922bfed5a3c4a3862cbd0d1f","a7d991158acccdb86e5590424b7cbc3eec594180","a0abdb9d4074e4be6ec772936ddd5538ed00b8955234535bd54f9f2a1befd244"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","tiptsf.dll","673592","0x20","ARCHIVE","2022-08-05T09:28:05Z","2022-10-18T14:50:03Z","2022-08-05T09:28:05Z","Microsoft Corporation","Touch Keyboard and Handwriting Panel Text Services Framework","10.0.19041.1 (WinBuild.160101.0800)","TipTsf.dll","&#169; Microsoft Corporation. All rights reserved.","TipTsf.dll.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","8fae9f0d0570b13a59ad771d6de595cb","9a592b0901d0fcbc347184388dacca1303551b78","5f83397e8b7ff42894ceaeefe410340aa204798b475d6a36d3a383a62b0e2785"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","tpcps.dll","97280","0x20","ARCHIVE","2019-12-07T09:09:47Z","2022-10-15T03:11:21Z","2019-12-07T09:09:47Z","Microsoft Corporation","Microsoft Tablet PC Platform Component","10.0.19041.1 (WinBuild.160101.0800)","TPCPS.dll","&#169; Microsoft Corporation. All rights reserved.","TPCPS.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","17876d9c02ef8de808749904193773e4","a234b5623874980786dbec7b9aa114e552964c91","aedac46c77f43d7d11509b44061a19d2c8d2a14011d40030eee2a02fbd21ff64"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\MSInfo\","msinfo32.exe","385024","0x20","ARCHIVE","2022-08-05T09:28:07Z","2022-10-17T04:58:26Z","2022-08-05T09:28:07Z","Microsoft Corporation","System Information","10.0.19041.1 (WinBuild.160101.0800)","msinfo.dll","&#169; Microsoft Corporation. All rights reserved.","msinfo.dll.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","0aed91da63713bf9f881b03a604a1c9d","b1b2d292cb1a4c13dc243b5eab13afb316a28b9a","5cf1604d2473661266e08fc0e4e144ea98f99b7584c43585eb2b01551130fd14"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\Operations Manager\","scommaintenancemode.dll","77736","0x20","ARCHIVE","2022-03-08T09:45:28Z","2022-10-18T03:11:45Z","2022-03-08T09:45:28Z","Microsoft Corp.","SCOM Maintenance Mode","10.20.18067.0","SCOMMaintenanceMode.dll","Copyright &#169; Microsoft Corp.","SCOMMaintenanceMode.dll","Microsoft Monitoring Agent","10.20.18067.0","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Corporation","Embedded","98df6442dde08f2ad22946d997da92c4","09d62ca8823a422dfb9ce8485fe71c92dde57c40","873f9a024563508897dce2c27c0a16890c7e94b7ae05a759808e5edebb639e23"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\VGX\","VGX.dll","1034752","0x20","ARCHIVE","2022-08-05T09:28:00Z","2022-10-15T03:11:18Z","2022-08-05T09:28:00Z","Microsoft Corporation","Microsoft Vector Graphics Rendering(VML)","11.00.19041.746 (WinBuild.160101.0800)","VGX.DLL","&#169; Microsoft Corporation. All rights reserved.","VGX.DLL","Internet Explorer","11.00.19041.746","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","7bbb32d39a8ba4fa2d3568668e73a9ba","54369be2147d4cdb9f618b03476525643277ad95","48be04b7b4b4f0e7e9234b454e96c29db54517a534649834a1b34dc8d94c7896"
"CrowdResponse","C:\Program Files\Common Files\System\","wab32.dll","890880","0x20","ARCHIVE","2022-08-05T09:28:02Z","2022-10-15T11:28:27Z","2022-08-05T09:28:02Z","Microsoft Corporation","Microsoft (R) Contacts DLL","10.0.19041.1706 (WinBuild.160101.0800)","WAB32.DLL","&#169; Microsoft Corporation. All rights reserved.","WAB32.DLL","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1706","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","588a3d68f89abf1884beb7267f274a8b","b6a5b8969b60ee2e0a119d4e20b23b805fe1d3d6","3b30256dc01d5557bc1c4449c881bece06e7efcc140a4e9d2ae70349b18543c3"
"CrowdResponse","C:\Program Files\Common Files\System\","wab32res.dll","964096","0x20","ARCHIVE","2022-08-05T09:28:02Z","2022-09-17T15:57:31Z","2022-08-05T09:28:02Z","Microsoft Corporation","Microsoft (R) Contacts DLL","10.0.19041.1 (WinBuild.160101.0800)","WAB32res.DLL","&#169; Microsoft Corporation. All rights reserved.","WAB32res.DLL.MUI","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","d9f24ba4c6da7a52cb729bed3b3650b9","2e58e82aa0076aa9647cc4735603b4274ca13ad0","34ed613f18b0793ded6da5f62aa39466db892638566dd9b12a2484ece72c065c"
"CrowdResponse","C:\Program Files\Common Files\System\ado\","msader15.dll","2560","0x20","ARCHIVE","2019-12-07T09:09:41Z","2022-09-11T20:49:36Z","2019-12-07T09:09:41Z","Microsoft Corporation","ActiveX Data Objects Resources","10.0.19041.1 (WinBuild.160101.0800)","msader15.dll","&#169; Microsoft Corporation. All rights reserved.","msader15.dll.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","1469a8a2c4ecfc640b7a06f7b7102999","85d43687bb147308e5d7634f554c47c6999ad323","a05effa73f5e684b7141631dc3aa02c8aea20429885e322819c292e2d8180e7b"
"CrowdResponse","C:\Program Files\Common Files\System\ado\","msado15.dll","1275904","0x20","ARCHIVE","2022-08-05T09:28:02Z","2022-10-15T03:11:18Z","2022-08-05T09:28:02Z","Microsoft Corporation","ActiveX Data Objects","10.0.19041.746 (WinBuild.160101.0800)","msado15.dll","&#169; Microsoft Corporation. All rights reserved.","msado15.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.746","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","8012b99ed06cc916e1050d36606989ad","a5626589472b02d7c65023b3b9aa098b431c6975","8c87825cb3937f9cfe89c1dd1f8bbd4cf95727c932a043f073b80977068295c7"
"CrowdResponse","C:\Program Files\Common Files\System\ado\","msadomd.dll","415232","0x20","ARCHIVE","2022-08-05T09:28:02Z","2022-10-15T03:11:19Z","2022-08-05T09:28:02Z","Microsoft Corporation","ActiveX Data Objects (Multi-Dimensional)","10.0.19041.746 (WinBuild.160101.0800)","msadomd.dll","&#169; Microsoft Corporation. All rights reserved.","msadomd.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.746","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","3c363508ddd34083341699f4beb0c94a","baf3faa3346cc23a59a2f2a131def3682408ad7c","58e2d1056f6e82723696a995cc3f3386e483c7c7d52047128e691b946f56843d"
"CrowdResponse","C:\Program Files\Common Files\System\ado\","msador15.dll","45568","0x20","ARCHIVE","2019-12-07T09:09:41Z","2022-10-15T03:11:25Z","2019-12-07T09:09:41Z","Microsoft Corporation","Microsoft ActiveX Data Objects Recordset","10.0.19041.1 (WinBuild.160101.0800)","msador15.dll","&#169; Microsoft Corporation. All rights reserved.","msador15.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","451b8bc6bea10dbd366ce9c2caeb8852","b0e9144d26fd7e9769de65f294fdbe53dac92616","b0660ad119559cb66d22b63d6a8fff8b170f411a7a2bf550ebab33070146ad0e"
"CrowdResponse","C:\Program Files\Common Files\System\ado\","msadox.dll","449536","0x20","ARCHIVE","2022-08-05T09:28:02Z","2022-10-15T03:11:18Z","2022-08-05T09:28:02Z","Microsoft Corporation","ActiveX Data Objects Extensions","10.0.19041.746 (WinBuild.160101.0800)","msadox.dll","&#169; Microsoft Corporation. All rights reserved.","msadox.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.746","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","71f7c854225f4b7a85f4d3e874f16bb5","2de1a184f4ebce2f3052f5515e09863a192a1785","ff4d016f54a9747c3dd518a0fc67ddc240bce6d90edc1a812c6753b69aebe84c"
"CrowdResponse","C:\Program Files\Common Files\System\ado\","msadrh15.dll","94208","0x20","ARCHIVE","2019-12-07T09:09:41Z","2022-10-15T03:11:20Z","2019-12-07T09:09:41Z","Microsoft Corporation","ActiveX Data Objects Rowset Helper","10.0.19041.1 (WinBuild.160101.0800)","msadrh15.dll","&#169; Microsoft Corporation. All rights reserved.","msadrh15.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","b5e24086aab7a021403890d58c1c4bc0","96ea694335ee376131d245c801dc7e8bce4f82be","38101efa29b28f78080051246bcdf7498258fcb660ba642bed1c6aa26e922bfd"
"CrowdResponse","C:\Program Files\Common Files\System\msadc\","msadce.dll","718848","0x20","ARCHIVE","2022-08-05T09:28:02Z","2022-10-15T03:11:19Z","2022-08-05T09:28:02Z","Microsoft Corporation","OLE DB Cursor Engine","10.0.19041.746 (WinBuild.160101.0800)","msadce.dll","&#169; Microsoft Corporation. All rights reserved.","msadce.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.746","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","7a8e34faae1ef3d2dc39ca661193d1f6","bfde7ae79077a62a2d2fbf607cbca7ccb92689c5","7c584f24dd61d61bb455761ccd6a49562c3fb78062055ea7a6cb7c118c323d8c"
"CrowdResponse","C:\Program Files\Common Files\System\msadc\","msadcer.dll","2560","0x20","ARCHIVE","2019-12-07T09:09:41Z","2022-09-11T20:49:37Z","2019-12-07T09:09:41Z","Microsoft Corporation","OLE DB Cursor Engine Resources","10.0.19041.1 (WinBuild.160101.0800)","msadcer.dll","&#169; Microsoft Corporation. All rights reserved.","msadcer.dll.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","93ec32411d86af356bc5138588342896","8ca82c1877fdb80112c474604bf988da3f3ab8cc","1f69740727cfd043bf53a433d3c9dc2949430fc209f7e22ef18c89e88021a90d"
"CrowdResponse","C:\Program Files\Common Files\System\msadc\","msadco.dll","254464","0x20","ARCHIVE","2022-08-05T09:28:02Z","2022-10-15T03:11:21Z","2022-08-05T09:28:02Z","Microsoft Corporation","Remote Data Services Data Control","10.0.19041.746 (WinBuild.160101.0800)","msadco.dll","&#169; Microsoft Corporation. All rights reserved.","msadco.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.746","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","1711aa07e6038cd652b40bf5c3e1041d","2dad1c6d04c6bfa8434ad40fbeb5b3dfb9ac7b11","d40ed7c89102bbe47813500b183399b3310484f4c2b7798d47a79aeda271b82d"
"CrowdResponse","C:\Program Files\Common Files\System\msadc\","msadcor.dll","2560","0x20","ARCHIVE","2019-12-07T09:09:41Z","2022-09-11T20:49:38Z","2019-12-07T09:09:41Z","Microsoft Corporation","Remote Data Services Data Control Resources","10.0.19041.1 (WinBuild.160101.0800)","msadcor.dll","&#169; Microsoft Corporation. All rights reserved.","msadcor.dll.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","045bdf800cf59d33cc22a84f6cd6b28b","cb081d1601c5b285cabd94d1bbe3101b0aa1c34e","d3f4348d7656984e07fdf54092cc598e01392cbb2dd6af61e6f58f8f13e25df5"
"CrowdResponse","C:\Program Files\Common Files\System\msadc\","msadds.dll","281600","0x20","ARCHIVE","2022-08-05T09:28:02Z","2022-10-15T03:11:19Z","2022-08-05T09:28:02Z","Microsoft Corporation","OLE DB Data Shape Provider","10.0.19041.746 (WinBuild.160101.0800)","msadds.dll","&#169; Microsoft Corporation. All rights reserved.","msadds.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.746","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","26c96f96d3ef0d1cbc6efab2163111ce","6cb8dd30f07cbfd423fec7ade384e31e4ffe18b6","5da26087ea1ad5cf55217439065d1d595a9f61c84b5e0c8ee8b7dddffec3e976"
"CrowdResponse","C:\Program Files\Common Files\System\msadc\","msaddsr.dll","2560","0x20","ARCHIVE","2019-12-07T09:09:41Z","2022-09-11T20:49:34Z","2019-12-07T09:09:41Z","Microsoft Corporation"," OLE DB Data Shape Provider Resources","10.0.19041.1 (WinBuild.160101.0800)","msaddsr.dll","&#169; Microsoft Corporation. All rights reserved.","msaddsr.dll.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","56d5d69369ca03f7ad847ac9c854cfaa","84dd0b6ff15131907926d69d0ecccb7f9f9fa3da","88f470912832805dd7bdf25dc43f030f42ef4ec0816fb8f913777e6a955e2a8d"
